"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.082389831543","19.2789192199707","21.8227596282959","21.3203907012939","19.7571506500244","","14.8978595733643","18.9007091522217","","20.7887992858887","19.0361995697021","21.537260055542","22.1436595916748","21.7454605102539","20.6340808868408","21.8745899200439","19.612720489502","22.8549900054932","21.3665504455566","","","","",
"Afghanistan","AFG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0675601959229","16.0484294891357","10.3568000793457","14.1028003692627","14.4659299850464","12.5089998245239","16.2117004394531","15.6613798141479","","","",
"Angola","AGO","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.11467981338501","","5.2550802230835","","","","","7.99235010147095","7.45479011535645","","","","8.68476963043213","","","","","","","","","","",
"Albania","ALB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1533899307251","9.6240701675415","9.68245983123779","10.1370296478271","10.5819301605225","9.88691997528076","10.5735998153687","10.7031602859497","11.3579702377319","10.9329500198364","11.1771898269653","","","","","","12.1239099502563","","11.3177003860474","13.596960067749","12.3908004760742","","","",
"Andorra","AND","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.4890995025635","19.2265205383301","18.9569396972656","19.3230590820313","","",
"Arab World","ARB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7487096786499","","","","12.489239692688","","","","","","","","","","","","",
"United Arab Emirates","ARE","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3987703323364","","15.6212596893311","15.8775396347046","16.2261505126953","16.3559608459473","16.4422092437744","14.3547201156616","15.1393003463745","15.8031702041626","15.5098400115967","15.1015701293945","15.7478399276733","16.0206699371338","15.0479698181152","15.1585597991943","14.5182600021362","14.4579296112061","13.7993297576904","13.9633102416992","13.3555402755737","13.2639198303223","","","",
"Armenia","ARM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6480903625488","13.578519821167","13.4655895233154","14.2684497833252","13.4512195587158","12.4005098342896","12.5933399200439","12.3689699172974","11.1367597579956","9.36711978912354","10.6563596725464","10.1971998214722","10.4031295776367","","","",
"American Samoa","ASM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4394102096558","","","11.7015399932861","","","","","","","6.92814016342163","","","","","","","","","","","",
